source,target,weight
F_60-69_A,M_80-plus_D,6.181531163466076
F_60-69_A,M_70-79_C,56.70200173408676
F_60-69_A,M_30-39_B,69.62018690132017
F_60-69_A,F_18-24_D,72.9394460406281
F_60-69_A,F_60-69_C,97.71475229448781
F_60-69_A,F_18-24_A,13.778887536659553
F_60-69_A,F_40-49_B,57.296829551616995
F_60-69_A,F_50-59_D,50.00014349102867
F_60-69_A,F_50-59_B,37.784503297017395
F_60-69_A,M_30-39_A,17.40504672526275
F_60-69_A,F_50-59_E,128.0201153198184
F_60-69_A,M_25-29_E,129.38697551953143
F_60-69_A,M_50-59_D,53.22337099150275
F_60-69_A,M_30-39_E,235.8758513818335
F_60-69_A,F_30-39_A,16.902118325187715
F_60-69_A,M_70-79_D,16.3888185537275
F_60-69_A,M_80-plus_C,21.383510574497183
F_60-69_A,F_50-59_C,172.95973026840915
F_60-69_A,M_25-29_A,9.547466711938455
F_60-69_A,M_70-79_E,41.95830073366595
F_60-69_A,F_80-plus_E,15.543214531949587
F_60-69_A,F_30-39_C,309.4257172496285
F_60-69_A,F_80-plus_D,6.070822612396875
F_60-69_A,M_50-59_B,40.216365164324216
F_60-69_A,M_18-24_C,265.4676019747984
F_60-69_A,F_25-29_E,125.6638569697362
F_60-69_A,F_80-plus_C,21.000705132645212
F_60-69_A,M_30-39_C,318.68699597707064
F_60-69_A,M_40-49_E,199.49278907983958
F_60-69_A,F_40-49_D,75.82376874883329
F_60-69_A,M_60-69_A,5.421204605727272
F_60-69_A,F_80-plus_B,4.587352184309392
F_60-69_A,F_80-plus_A,1.1494347643058642
F_60-69_A,F_18-24_E,186.7450799912695
F_60-69_A,M_18-24_B,57.98957188519164
F_60-69_A,M_80-plus_B,4.671082158982995
F_60-69_A,M_70-79_A,3.095602249617315
F_60-69_A,M_70-79_B,12.379605048241393
F_60-69_A,F_30-39_D,89.44981521939145
F_60-69_A,M_18-24_A,14.497392971242427
F_60-69_A,M_40-49_C,269.53393270158267
F_60-69_A,M_25-29_D,50.53554031446988
F_60-69_A,F_40-49_C,262.2920611708821
F_60-69_A,F_70-79_E,41.50377389213869
F_60-69_A,M_40-49_A,14.720202884236848
F_60-69_A,F_70-79_B,12.245352235472831
F_60-69_A,F_30-39_B,67.60847330100944
F_60-69_A,F_25-29_D,49.081210317340634
F_60-69_A,M_60-69_E,73.46856873031592
F_60-69_A,F_40-49_E,194.13166561232603
F_60-69_A,M_30-39_D,92.12798200489318
F_60-69_A,F_60-69_B,21.347542200706965
F_60-69_A,M_40-49_D,77.91804416592356
F_60-69_A,F_18-24_B,55.11555014684638
F_60-69_A,M_60-69_D,28.69455033890429
F_60-69_A,M_50-59_A,10.054091291042852
F_60-69_A,M_18-24_D,76.74134749013352
M_25-29_C,F_60-69_D,924.4611588970004
M_25-29_C,M_40-49_B,2011.010941011147
M_25-29_C,M_80-plus_A,40.17215805940206
M_25-29_C,M_60-69_B,721.1558454640632
M_25-29_C,F_60-69_E,2365.8317309408653
M_25-29_C,F_40-49_A,485.63185040385156
M_25-29_C,M_50-59_E,4731.3892564073185
M_25-29_C,F_70-79_D,537.0682564548098
M_25-29_C,F_25-29_B,1268.0587590625787
M_25-29_C,F_70-79_A,101.54425168423006
M_25-29_C,F_30-39_E,7687.9466632642825
M_25-29_C,M_80-plus_E,543.0372986492955
M_25-29_C,M_25-29_B,1344.1172430514962
M_25-29_C,F_25-29_A,317.1598088228307
M_25-29_C,M_60-69_C,3300.1531944102503
M_25-29_C,F_50-59_A,317.3404589013072
M_25-29_C,F_25-29_C,5802.490756980603
M_25-29_C,F_18-24_C,8556.26900165797
M_25-29_C,M_80-plus_D,212.24479076160978
M_25-29_C,M_70-79_C,1879.7030912089308
M_25-29_C,M_30-39_B,2369.01636852664
M_25-29_C,F_18-24_D,2473.515479087768
M_25-29_C,F_60-69_C,3196.4269494182918
M_25-29_C,F_18-24_A,467.7354367358749
M_25-29_C,F_40-49_B,1942.084407916901
M_25-29_C,F_50-59_D,1677.6692693419793
M_25-29_C,F_50-59_B,1268.2039272422485
M_25-29_C,M_30-39_A,592.387240895445
M_25-29_C,F_50-59_E,4295.471259947355
M_25-29_C,M_25-29_E,4552.093786695343
M_25-29_C,M_50-59_D,1848.0233442576643
M_25-29_C,M_30-39_E,8025.383245297089
M_25-29_C,F_30-39_A,567.8211930384851
M_25-29_C,M_70-79_D,543.3262454058299
M_25-29_C,M_80-plus_C,733.682365732924
M_25-29_C,F_50-59_C,5803.139875968279
M_25-29_C,M_25-29_A,336.2550694690448
M_25-29_C,M_70-79_E,1391.025784364808
M_25-29_C,F_80-plus_E,520.786208964821
M_25-29_C,F_30-39_C,10386.705771911851
M_25-29_C,F_80-plus_D,203.54564621595264
M_25-29_C,M_50-59_B,1396.5574014814601
M_25-29_C,M_18-24_C,9192.953710171527
M_25-29_C,F_25-29_E,4294.274639689171
M_25-29_C,F_80-plus_C,703.6192597558669
M_25-29_C,M_30-39_C,10842.465313311337
M_25-29_C,M_40-49_E,6812.631858998758
M_25-29_C,F_40-49_D,2569.8485073221186
M_25-29_C,M_60-69_A,180.45164545460972
M_25-29_C,F_80-plus_B,153.85516231933158
M_25-29_C,F_80-plus_A,38.55098047141937
M_25-29_C,F_18-24_E,6332.841458047643
M_25-29_C,M_18-24_B,2008.4581019761265
M_25-29_C,M_80-plus_B,160.3999568565792
M_25-29_C,M_70-79_A,102.75504505687675
M_25-29_C,M_70-79_B,410.55740362271035
M_25-29_C,F_30-39_D,3002.728951889486
M_25-29_C,M_18-24_A,502.1145254920516
M_25-29_C,M_40-49_C,9204.123090123874
M_25-29_C,M_25-29_D,1777.9718577056758
M_25-29_C,F_40-49_C,8889.40869976281
M_25-29_C,F_70-79_E,1374.372516955455
M_25-29_C,M_40-49_A,502.75273525081263
M_25-29_C,F_70-79_B,405.7179362387168
M_25-29_C,F_30-39_B,2269.7322922606154
M_25-29_C,F_25-29_D,1677.6440773924214
M_25-29_C,M_60-69_E,2443.1897189966635
M_25-29_C,F_40-49_E,6579.534395384498
M_25-29_C,M_30-39_D,3134.549734942117
M_25-29_C,F_60-69_B,698.7655114662734
M_25-29_C,M_40-49_D,2660.8937906161777
M_25-29_C,F_18-24_B,1869.2420542277762
M_25-29_C,M_60-69_D,954.2594257990245
M_25-29_C,M_50-59_A,349.3755204904277
M_25-29_C,M_18-24_D,2657.0259331413617
F_60-69_D,M_40-49_B,311.38951965945535
F_60-69_D,M_80-plus_A,6.189936992954295
F_60-69_D,M_60-69_B,114.67396956318314
F_60-69_D,F_60-69_E,382.48012336715453
F_60-69_D,F_40-49_A,75.75464082910986
F_60-69_D,M_50-59_E,720.7055991617827
F_60-69_D,F_70-79_D,85.7895329930574
F_60-69_D,F_25-29_B,196.15461300525644
F_60-69_D,F_70-79_A,16.218623149046064
F_60-69_D,F_30-39_E,1211.17743114529
F_60-69_D,M_80-plus_E,83.70206090068316
F_60-69_D,M_25-29_B,201.95875656312887
F_60-69_D,F_25-29_A,49.04987480117494
F_60-69_D,M_60-69_C,524.910097897299
F_60-69_D,F_50-59_A,49.977306990513064
F_60-69_D,F_25-29_C,897.9378902600489
F_60-69_D,F_18-24_C,1334.4665729842209
F_60-69_D,M_80-plus_D,32.70714686178822
F_60-69_D,M_70-79_C,299.9934041581476
F_60-69_D,M_30-39_B,368.1781744422079
F_60-69_D,F_18-24_D,385.7626584904036
F_60-69_D,F_60-69_C,516.7478600199569
F_60-69_D,F_18-24_A,72.87306856660564
F_60-69_D,F_40-49_B,303.0185633175989
F_60-69_D,F_50-59_D,264.4215841151598
F_60-69_D,F_50-59_B,199.81794566633192
F_60-69_D,M_30-39_A,92.04454361019702
F_60-69_D,F_50-59_E,677.0220090942418
F_60-69_D,M_25-29_E,684.2407876378833
F_60-69_D,M_50-59_D,281.4956094020271
F_60-69_D,M_30-39_E,1247.4127704691784
F_60-69_D,F_30-39_A,89.40695100311913
F_60-69_D,M_70-79_D,86.70800361054532
F_60-69_D,M_80-plus_C,113.09172369217248
F_60-69_D,F_50-59_C,914.6872593326227
F_60-69_D,M_25-29_A,50.51260539661113
F_60-69_D,M_70-79_E,221.98748077104992
F_60-69_D,F_80-plus_E,82.20484612450286
F_60-69_D,F_30-39_C,1636.4195420054623
F_60-69_D,F_80-plus_D,32.12918100666982
F_60-69_D,M_50-59_B,212.69988489306806
F_60-69_D,M_18-24_C,1403.9940994186188
F_60-69_D,F_25-29_E,664.5685744694304
F_60-69_D,F_80-plus_C,111.06916458286081
F_60-69_D,M_30-39_C,1685.3657768077173
F_60-69_D,M_40-49_E,1055.021334878798
F_60-69_D,F_40-49_D,401.0042022154353
F_60-69_D,M_60-69_A,28.688033171610826
F_60-69_D,F_80-plus_B,24.283290449680973
F_60-69_D,F_80-plus_A,6.084568684413837
F_60-69_D,F_18-24_E,987.6563059425915
F_60-69_D,M_18-24_B,306.68800588066836
F_60-69_D,M_80-plus_B,24.71492155666748
F_60-69_D,M_70-79_A,16.392530655839536
F_60-69_D,M_70-79_B,65.51071861303035
F_60-69_D,F_30-39_D,473.0594125562052
F_60-69_D,M_18-24_A,76.67200146987437
F_60-69_D,M_40-49_C,1425.445372655657
F_60-69_D,M_25-29_D,267.24919970389493
F_60-69_D,F_40-49_C,1387.1732557170087
F_60-69_D,F_70-79_E,219.58625519212347
F_60-69_D,M_40-49_A,77.84737991456696
F_60-69_D,F_70-79_B,64.80127030807554
F_60-69_D,F_30-39_B,357.54645101428684
F_60-69_D,F_25-29_D,259.5647901594097
F_60-69_D,M_60-69_E,388.5211382677665
F_60-69_D,F_40-49_E,1026.6888685612969
F_60-69_D,M_30-39_D,487.2135622463455
F_60-69_D,F_60-69_B,112.91643118963054
F_60-69_D,M_40-49_D,412.0720567742313
